presentation_table,cell,complete,expected_seeds,group,included_seeds,mean,metric,metric_label,n_seeds,sd,table
Dependence_strength_sweep_depstatic_n7_r1,alibi|both|8.0,True,"[0, 1, 2, 3, 4]",depstatic_n7_r1,"[0, 1, 2, 3, 4]",0.3396,false_ejection_rate,false_ejection_rate,5,0.01777076250474356,strength_sweep
Dependence_strength_sweep_depstatic_n7_r1,alibi|crew_rule|0.0,True,"[0, 1, 2, 3, 4]",depstatic_n7_r1,"[0, 1, 2, 3, 4]",0.41879999999999995,false_ejection_rate,false_ejection_rate,5,0.004086563348340513,strength_sweep
Dependence_strength_sweep_depstatic_n7_r1,alibi|crew_rule|1.0,True,"[0, 1, 2, 3, 4]",depstatic_n7_r1,"[0, 1, 2, 3, 4]",0.375,false_ejection_rate,false_ejection_rate,5,0.008544003745317538,strength_sweep
Dependence_strength_sweep_depstatic_n7_r1,alibi|crew_rule|2.0,True,"[0, 1, 2, 3, 4]",depstatic_n7_r1,"[0, 1, 2, 3, 4]",0.36660000000000004,false_ejection_rate,false_ejection_rate,5,0.007469939758793246,strength_sweep
Dependence_strength_sweep_depstatic_n7_r1,alibi|crew_rule|4.0,True,"[0, 1, 2, 3, 4]",depstatic_n7_r1,"[0, 1, 2, 3, 4]",0.32320000000000004,false_ejection_rate,false_ejection_rate,5,0.021661024906499696,strength_sweep
Dependence_strength_sweep_depstatic_n7_r1,alibi|crew_rule|6.0,True,"[0, 1, 2, 3, 4]",depstatic_n7_r1,"[0, 1, 2, 3, 4]",0.29619999999999996,false_ejection_rate,false_ejection_rate,5,0.017426990560621757,strength_sweep
Dependence_strength_sweep_depstatic_n7_r1,alibi|crew_rule|8.0,True,"[0, 1, 2, 3, 4]",depstatic_n7_r1,"[0, 1, 2, 3, 4]",0.2904,false_ejection_rate,false_ejection_rate,5,0.01677200047698544,strength_sweep
Dependence_strength_sweep_depstatic_n7_r1,alibi|vote_tally|0.0,True,"[0, 1, 2, 3, 4]",depstatic_n7_r1,"[0, 1, 2, 3, 4]",0.41879999999999995,false_ejection_rate,false_ejection_rate,5,0.004086563348340513,strength_sweep
Dependence_strength_sweep_depstatic_n7_r1,alibi|vote_tally|1.0,True,"[0, 1, 2, 3, 4]",depstatic_n7_r1,"[0, 1, 2, 3, 4]",0.4782,false_ejection_rate,false_ejection_rate,5,0.00983361581515161,strength_sweep
Dependence_strength_sweep_depstatic_n7_r1,alibi|vote_tally|2.0,True,"[0, 1, 2, 3, 4]",depstatic_n7_r1,"[0, 1, 2, 3, 4]",0.47539999999999993,false_ejection_rate,false_ejection_rate,5,0.009914635646356341,strength_sweep
Dependence_strength_sweep_depstatic_n7_r1,alibi|vote_tally|4.0,True,"[0, 1, 2, 3, 4]",depstatic_n7_r1,"[0, 1, 2, 3, 4]",0.44160000000000005,false_ejection_rate,false_ejection_rate,5,0.01254192967609053,strength_sweep
Dependence_strength_sweep_depstatic_n7_r1,alibi|vote_tally|6.0,True,"[0, 1, 2, 3, 4]",depstatic_n7_r1,"[0, 1, 2, 3, 4]",0.4426,false_ejection_rate,false_ejection_rate,5,0.012992305415129383,strength_sweep
Dependence_strength_sweep_depstatic_n7_r1,alibi|vote_tally|8.0,True,"[0, 1, 2, 3, 4]",depstatic_n7_r1,"[0, 1, 2, 3, 4]",0.40680000000000005,false_ejection_rate,false_ejection_rate,5,0.015546703830716001,strength_sweep
Dependence_strength_sweep_depstatic_n7_r1,truthful|both|0.0,True,"[0, 1, 2, 3, 4]",depstatic_n7_r1,"[0, 1, 2, 3, 4]",0.0092,false_ejection_rate,false_ejection_rate,5,0.0027748873851023217,strength_sweep
Dependence_strength_sweep_depstatic_n7_r1,truthful|both|1.0,True,"[0, 1, 2, 3, 4]",depstatic_n7_r1,"[0, 1, 2, 3, 4]",0.0092,false_ejection_rate,false_ejection_rate,5,0.0027748873851023217,strength_sweep
