kind,crew,condition,rule,variant,metric,n_replicates,mean,sd,minimum,maximum,replicate_values
outcome,3,alibi,soft_credibility,catch_outside,false_ejection_rate,10,0.5045999999999999,0.0222920015551169,0.476,0.552,"[0.48,0.516,0.552,0.488,0.506,0.506,0.476,0.518,0.492,0.512]"
outcome,3,alibi,soft_credibility,catch_outside,incident_rate,10,1.0,0.0,1.0,1.0,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]"
outcome,3,alibi,soft_credibility,catch_outside,no_ejection_rate,10,0.49540000000000006,0.022292001555116885,0.448,0.524,"[0.52,0.484,0.448,0.512,0.494,0.494,0.524,0.482,0.508,0.488]"
outcome,3,framer,mean,alibi_off,coalition_favorable_rate,10,1.0,0.0,1.0,1.0,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]"
outcome,3,framer,mean,alibi_off,creator_ejection_rate,10,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
outcome,3,framer,mean,alibi_off,creator_survival,10,1.0,0.0,1.0,1.0,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]"
outcome,3,framer,mean,alibi_off,false_ejection_rate,10,0.5370000000000001,0.01996107322877316,0.504,0.566,"[0.562,0.542,0.516,0.546,0.504,0.53,0.566,0.542,0.518,0.544]"
outcome,3,framer,mean,alibi_off,incident_rate,10,1.0,0.0,1.0,1.0,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]"
outcome,3,framer,mean,alibi_off,no_ejection_rate,10,0.4630000000000001,0.01996107322877315,0.434,0.496,"[0.438,0.458,0.484,0.454,0.496,0.47,0.434,0.458,0.482,0.456]"
outcome,3,framer,mean,baseline,coalition_favorable_rate,10,1.0,0.0,1.0,1.0,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]"
outcome,3,framer,mean,baseline,creator_ejection_rate,10,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
outcome,3,framer,mean,baseline,creator_survival,10,1.0,0.0,1.0,1.0,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]"
outcome,3,framer,mean,baseline,false_ejection_rate,10,0.5354000000000001,0.019460501306778073,0.504,0.564,"[0.558,0.542,0.516,0.542,0.504,0.528,0.564,0.542,0.514,0.544]"
outcome,3,framer,mean,baseline,incident_rate,10,1.0,0.0,1.0,1.0,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]"
outcome,3,framer,mean,baseline,no_ejection_rate,10,0.46460000000000007,0.019460501306778066,0.436,0.496,"[0.442,0.458,0.484,0.458,0.496,0.472,0.436,0.458,0.486,0.456]"
outcome,3,framer,mean,catch_outside,coalition_favorable_rate,10,1.0,0.0,1.0,1.0,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]"
outcome,3,framer,mean,catch_outside,creator_ejection_rate,10,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
outcome,3,framer,mean,catch_outside,creator_survival,10,1.0,0.0,1.0,1.0,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]"
outcome,3,framer,mean,catch_outside,false_ejection_rate,10,0.5354000000000001,0.019460501306778073,0.504,0.564,"[0.558,0.542,0.516,0.542,0.504,0.528,0.564,0.542,0.514,0.544]"
outcome,3,framer,mean,catch_outside,incident_rate,10,1.0,0.0,1.0,1.0,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]"
outcome,3,framer,mean,catch_outside,no_ejection_rate,10,0.46460000000000007,0.019460501306778066,0.436,0.496,"[0.442,0.458,0.484,0.458,0.496,0.472,0.436,0.458,0.486,0.456]"
outcome,3,framer,sharp_credibility,alibi_off,coalition_favorable_rate,10,1.0,0.0,1.0,1.0,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]"
outcome,3,framer,sharp_credibility,alibi_off,creator_ejection_rate,10,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
outcome,3,framer,sharp_credibility,alibi_off,creator_survival,10,1.0,0.0,1.0,1.0,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]"
outcome,3,framer,sharp_credibility,alibi_off,false_ejection_rate,10,0.5172,0.020852924122157192,0.478,0.55,"[0.534,0.526,0.496,0.53,0.478,0.508,0.55,0.522,0.504,0.524]"
outcome,3,framer,sharp_credibility,alibi_off,incident_rate,10,1.0,0.0,1.0,1.0,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]"
outcome,3,framer,sharp_credibility,alibi_off,no_ejection_rate,10,0.4828,0.020852924122157175,0.45,0.522,"[0.466,0.474,0.504,0.47,0.522,0.492,0.45,0.478,0.496,0.476]"
outcome,3,framer,sharp_credibility,baseline,coalition_favorable_rate,10,1.0,0.0,1.0,1.0,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]"
outcome,3,framer,sharp_credibility,baseline,creator_ejection_rate,10,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
outcome,3,framer,sharp_credibility,baseline,creator_survival,10,1.0,0.0,1.0,1.0,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]"
outcome,3,framer,sharp_credibility,baseline,false_ejection_rate,10,0.5124000000000001,0.02019460874149888,0.476,0.546,"[0.526,0.52,0.49,0.524,0.476,0.506,0.546,0.518,0.498,0.52]"
outcome,3,framer,sharp_credibility,baseline,incident_rate,10,1.0,0.0,1.0,1.0,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]"
outcome,3,framer,sharp_credibility,baseline,no_ejection_rate,10,0.4875999999999999,0.02019460874149887,0.454,0.524,"[0.474,0.48,0.51,0.476,0.524,0.494,0.454,0.482,0.502,0.48]"
outcome,3,framer,sharp_credibility,catch_outside,coalition_favorable_rate,10,1.0,0.0,1.0,1.0,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]"
outcome,3,framer,sharp_credibility,catch_outside,creator_ejection_rate,10,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
