crew,condition,rule,variant,metric,replicate,value,kind
3,framer,mean,baseline,creator_survival,0,1.0,outcome
3,framer,mean,baseline,no_ejection_rate,0,0.442,outcome
3,framer,mean,baseline,incident_rate,0,1.0,outcome
3,framer,mean,alibi_off,false_ejection_rate,0,0.562,outcome
3,framer,mean,alibi_off,coalition_favorable_rate,0,1.0,outcome
3,framer,mean,alibi_off,creator_ejection_rate,0,0.0,outcome
3,framer,mean,alibi_off,creator_survival,0,1.0,outcome
3,framer,mean,alibi_off,no_ejection_rate,0,0.438,outcome
3,framer,mean,alibi_off,incident_rate,0,1.0,outcome
3,framer,mean,catch_outside,false_ejection_rate,0,0.558,outcome
3,framer,mean,catch_outside,coalition_favorable_rate,0,1.0,outcome
3,framer,mean,catch_outside,creator_ejection_rate,0,0.0,outcome
3,framer,mean,catch_outside,creator_survival,0,1.0,outcome
3,framer,mean,catch_outside,no_ejection_rate,0,0.442,outcome
3,framer,mean,catch_outside,incident_rate,0,1.0,outcome
3,framer,soft_credibility,baseline,false_ejection_rate,0,0.55,outcome
3,framer,soft_credibility,baseline,coalition_favorable_rate,0,1.0,outcome
3,framer,soft_credibility,baseline,creator_ejection_rate,0,0.0,outcome
3,framer,soft_credibility,baseline,creator_survival,0,1.0,outcome
3,framer,soft_credibility,baseline,no_ejection_rate,0,0.45,outcome
3,framer,soft_credibility,baseline,incident_rate,0,1.0,outcome
3,framer,soft_credibility,baseline,n_speakers,0,4.0,voter
3,framer,soft_credibility,baseline,coalition_share,0,0.5,voter
3,framer,soft_credibility,baseline,coalition_weight_soft,0,0.15195647483056854,voter
3,framer,soft_credibility,baseline,weight_minus_share,0,-0.3480435251694314,voter
3,framer,soft_credibility,baseline,cred_coalition,0,-1.528,voter
3,framer,soft_credibility,baseline,cred_honest,0,2.531,voter
3,framer,soft_credibility,baseline,uninformative_share,0,0.0,voter
3,framer,soft_credibility,baseline,weight_on_uninformative,0,0.0,voter
3,framer,soft_credibility,baseline,coalition_caught,0,0.781,voter
3,framer,soft_credibility,baseline,argmax_differs,0,0.004,voter
3,framer,soft_credibility,baseline,mean_top_is_coalition,0,0.721,voter
3,framer,soft_credibility,baseline,soft_top_is_coalition,0,0.725,voter
3,framer,soft_credibility,baseline,mean_skips,0,0.0,voter
3,framer,soft_credibility,baseline,soft_skips,0,0.0,voter
3,framer,soft_credibility,alibi_off,false_ejection_rate,0,0.552,outcome
3,framer,soft_credibility,alibi_off,coalition_favorable_rate,0,1.0,outcome
3,framer,soft_credibility,alibi_off,creator_ejection_rate,0,0.0,outcome
3,framer,soft_credibility,alibi_off,creator_survival,0,1.0,outcome
3,framer,soft_credibility,alibi_off,no_ejection_rate,0,0.448,outcome
3,framer,soft_credibility,alibi_off,incident_rate,0,1.0,outcome
3,framer,soft_credibility,catch_outside,false_ejection_rate,0,0.55,outcome
3,framer,soft_credibility,catch_outside,coalition_favorable_rate,0,1.0,outcome
3,framer,soft_credibility,catch_outside,creator_ejection_rate,0,0.0,outcome
3,framer,soft_credibility,catch_outside,creator_survival,0,1.0,outcome
3,framer,soft_credibility,catch_outside,no_ejection_rate,0,0.45,outcome
3,framer,soft_credibility,catch_outside,incident_rate,0,1.0,outcome
3,framer,sharp_credibility,baseline,false_ejection_rate,0,0.526,outcome
3,framer,sharp_credibility,baseline,coalition_favorable_rate,0,1.0,outcome
3,framer,sharp_credibility,baseline,creator_ejection_rate,0,0.0,outcome
3,framer,sharp_credibility,baseline,creator_survival,0,1.0,outcome
