crew,condition,rule,metric,contrast,n_replicates,mean,sd,minimum,maximum,replicate_values,variant
3,alibi,soft_credibility,creator_ejection_rate,alibi_off minus baseline,10,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",
3,alibi,,creator_ejection_rate,soft_credibility minus mean,10,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",alibi_off
3,alibi,soft_credibility,creator_survival,alibi_off minus baseline,10,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",
3,alibi,,creator_survival,soft_credibility minus mean,10,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",alibi_off
3,alibi,soft_credibility,false_ejection_rate,alibi_off minus baseline,10,-0.156,0.012961481396815716,-0.17599999999999993,-0.132,"[-0.14799999999999996,-0.15800000000000003,-0.17599999999999993,-0.16000000000000003,-0.16200000000000003,-0.132,-0.15200000000000002,-0.15600000000000003,-0.14400000000000002,-0.17200000000000004]",
3,alibi,,false_ejection_rate,soft_credibility minus mean,10,-0.030199999999999998,0.015009626540620158,-0.05399999999999999,0.0020000000000000018,"[-0.01599999999999996,-0.03200000000000003,-0.033999999999999975,-0.03200000000000003,-0.03999999999999998,0.0020000000000000018,-0.040000000000000036,-0.02799999999999997,-0.05399999999999999,-0.028000000000000025]",alibi_off
3,alibi,soft_credibility,incident_rate,alibi_off minus baseline,10,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",
3,alibi,,incident_rate,soft_credibility minus mean,10,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",alibi_off
3,alibi,soft_credibility,no_ejection_rate,alibi_off minus baseline,10,0.15599999999999997,0.012961481396815723,0.13199999999999995,0.176,"[0.14800000000000002,0.15799999999999997,0.176,0.16000000000000003,0.16199999999999998,0.13199999999999995,0.15200000000000002,0.15599999999999997,0.14400000000000002,0.172]",
3,alibi,,no_ejection_rate,soft_credibility minus mean,10,0.030200000000000015,0.015009626540620163,-0.0020000000000000018,0.05400000000000005,"[0.016000000000000014,0.03200000000000003,0.03399999999999992,0.03200000000000003,0.040000000000000036,-0.0020000000000000018,0.040000000000000036,0.028000000000000025,0.05400000000000005,0.028000000000000025]",alibi_off
3,alibi,,coalition_favorable_rate,soft_credibility minus mean,10,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",baseline
3,alibi,,creator_ejection_rate,soft_credibility minus mean,10,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",baseline
3,alibi,,creator_survival,soft_credibility minus mean,10,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",baseline
3,alibi,,false_ejection_rate,soft_credibility minus mean,10,0.01120000000000001,0.007955431408094031,0.0,0.026000000000000023,"[0.008000000000000007,0.0,0.010000000000000009,0.014000000000000012,0.01200000000000001,0.026000000000000023,0.018000000000000016,0.008000000000000007,0.0,0.016000000000000014]",baseline
3,alibi,,incident_rate,soft_credibility minus mean,10,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",baseline
3,alibi,,no_ejection_rate,soft_credibility minus mean,10,-0.011199999999999993,0.007955431408094018,-0.025999999999999968,0.0,"[-0.008000000000000007,0.0,-0.010000000000000009,-0.014000000000000012,-0.011999999999999955,-0.025999999999999968,-0.018000000000000016,-0.008000000000000007,0.0,-0.01599999999999996]",baseline
