figure,group,table,cell,metric,row,column,n_seeds,mean,sd
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C7|D5,coalition_game_win_rate,C7,D5,10,0.6065999999999999,0.14244234701177252
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C7|D6,coalition_game_win_rate,C7,D6,10,0.3638,0.1858827587486263
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C7|D7,coalition_game_win_rate,C7,D7,10,0.8119999999999999,0.04689468105351726
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C7|D8,coalition_game_win_rate,C7,D8,10,0.2958,0.11331156653718592
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C7|D9,coalition_game_win_rate,C7,D9,10,0.6466,0.09721933963980622
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C7|D10,coalition_game_win_rate,C7,D10,10,0.43600000000000005,0.14447452678202097
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C8|D0,coalition_game_win_rate,C8,D0,10,0.1954,0.053558275634012796
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C8|D1,coalition_game_win_rate,C8,D1,10,0.7754,0.09716903942214421
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C8|D2,coalition_game_win_rate,C8,D2,10,0.5366,0.16269139156356394
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C8|D3,coalition_game_win_rate,C8,D3,10,0.5142,0.14218126146265236
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C8|D4,coalition_game_win_rate,C8,D4,10,0.6256,0.1542488609718435
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C8|D5,coalition_game_win_rate,C8,D5,10,0.5008,0.1641468177509932
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C8|D6,coalition_game_win_rate,C8,D6,10,0.6236,0.1430020978867093
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C8|D7,coalition_game_win_rate,C8,D7,10,0.4574,0.1434187342481216
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C8|D8,coalition_game_win_rate,C8,D8,10,0.792,0.08658970942195025
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C8|D9,coalition_game_win_rate,C8,D9,10,0.3062,0.08645846787138128
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C8|D10,coalition_game_win_rate,C8,D10,10,0.7054,0.07907830156103364
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C9|D0,coalition_game_win_rate,C9,D0,10,0.1974,0.048268232018815665
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C9|D1,coalition_game_win_rate,C9,D1,10,0.7832,0.10004976539480517
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C9|D2,coalition_game_win_rate,C9,D2,10,0.48660000000000003,0.18186209671677667
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C9|D3,coalition_game_win_rate,C9,D3,10,0.5252000000000001,0.21008611990747456
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C9|D4,coalition_game_win_rate,C9,D4,10,0.49479999999999996,0.2535493815588768
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C9|D5,coalition_game_win_rate,C9,D5,10,0.635,0.12900732106701884
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C9|D6,coalition_game_win_rate,C9,D6,10,0.35100000000000003,0.17764696576199787
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C9|D7,coalition_game_win_rate,C9,D7,10,0.744,0.06771837105082917
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C9|D8,coalition_game_win_rate,C9,D8,10,0.378,0.12941921547178892
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C9|D9,coalition_game_win_rate,C9,D9,10,0.7694,0.07541323196598562
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C9|D10,coalition_game_win_rate,C9,D10,10,0.3068,0.1506525067092406
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C10|D0,coalition_game_win_rate,C10,D0,10,0.18039999999999998,0.046712358583617296
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C10|D1,coalition_game_win_rate,C10,D1,10,0.7888,0.07435171671036099
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C10|D2,coalition_game_win_rate,C10,D2,10,0.5187999999999999,0.15951091916647378
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C10|D3,coalition_game_win_rate,C10,D3,10,0.5396,0.1192040267776219
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C10|D4,coalition_game_win_rate,C10,D4,10,0.5888,0.13566036021378292
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C10|D5,coalition_game_win_rate,C10,D5,10,0.5404,0.132312088974851
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C10|D6,coalition_game_win_rate,C10,D6,10,0.598,0.13959942693292118
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C10|D7,coalition_game_win_rate,C10,D7,10,0.5068,0.14496957535213303
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C10|D8,coalition_game_win_rate,C10,D8,10,0.6288,0.12140364263251922
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C10|D9,coalition_game_win_rate,C10,D9,10,0.4276,0.1131952099496951
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C10|D10,coalition_game_win_rate,C10,D10,10,0.7968,0.03689263702511202
