analysis_status,job,group,seed,metric,generation,gap,best_observed_coalition,best_observed_defender,mc_low,mc_high,simultaneous_cell_epsilon,episodes_per_cell,pool_size
complete,multigen_none_n7_r8_k10_s5,multigen_none_n7_r8_k10,5,any_false_ejection_rate,7,0.612,0,0,0.4277754630923375,0.7962245369076625,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s5,multigen_none_n7_r8_k10,5,any_false_ejection_rate,8,0.6379999999999999,8,0,0.45377546309233746,0.8222245369076625,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s5,multigen_none_n7_r8_k10,5,any_false_ejection_rate,9,0.62,9,0,0.43577546309233745,0.8042245369076625,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s5,multigen_none_n7_r8_k10,5,any_false_ejection_rate,10,0.6599999999999999,0,0,0.4757754630923375,0.8442245369076625,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s5,multigen_none_n7_r8_k10,5,coalition_game_win_rate,0,0.822,0,8,0.6377754630923375,0.9461122684538312,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s5,multigen_none_n7_r8_k10,5,coalition_game_win_rate,1,0.7,5,0,0.5157754630923375,0.8842245369076625,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s5,multigen_none_n7_r8_k10,5,coalition_game_win_rate,2,0.628,2,0,0.4437754630923375,0.8122245369076625,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s5,multigen_none_n7_r8_k10,5,coalition_game_win_rate,3,0.6819999999999999,3,0,0.49777546309233744,0.8662245369076624,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s5,multigen_none_n7_r8_k10,5,coalition_game_win_rate,4,0.716,4,0,0.5317754630923375,0.9002245369076625,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s5,multigen_none_n7_r8_k10,5,coalition_game_win_rate,5,0.704,5,0,0.5197754630923375,0.8882245369076625,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s5,multigen_none_n7_r8_k10,5,coalition_game_win_rate,6,0.48,6,0,0.29577546309233743,0.6642245369076625,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s5,multigen_none_n7_r8_k10,5,coalition_game_win_rate,7,0.508,7,0,0.32377546309233746,0.6922245369076625,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s5,multigen_none_n7_r8_k10,5,coalition_game_win_rate,8,0.574,8,0,0.38977546309233746,0.7582245369076624,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s5,multigen_none_n7_r8_k10,5,coalition_game_win_rate,9,0.562,9,0,0.3777754630923375,0.7462245369076626,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s5,multigen_none_n7_r8_k10,5,coalition_game_win_rate,10,0.626,10,0,0.4417754630923375,0.8102245369076625,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s6,multigen_none_n7_r8_k10,6,any_false_ejection_rate,0,0.26,0,7,0.07577546309233751,0.3801122684538313,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s6,multigen_none_n7_r8_k10,6,any_false_ejection_rate,1,0.5760000000000001,3,0,0.3917754630923375,0.7602245369076626,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s6,multigen_none_n7_r8_k10,6,any_false_ejection_rate,2,0.62,0,0,0.43577546309233745,0.8042245369076625,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s6,multigen_none_n7_r8_k10,6,any_false_ejection_rate,3,0.5740000000000001,3,0,0.3897754630923375,0.7582245369076626,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s6,multigen_none_n7_r8_k10,6,any_false_ejection_rate,4,0.6699999999999999,4,0,0.4857754630923375,0.8542245369076625,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s6,multigen_none_n7_r8_k10,6,any_false_ejection_rate,5,0.486,5,0,0.3017754630923375,0.6702245369076625,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s6,multigen_none_n7_r8_k10,6,any_false_ejection_rate,6,0.6420000000000001,0,0,0.4577754630923376,0.8061122684538313,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s6,multigen_none_n7_r8_k10,6,any_false_ejection_rate,7,0.47400000000000003,9,0,0.28977546309233754,0.6582245369076625,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s6,multigen_none_n7_r8_k10,6,any_false_ejection_rate,8,0.7020000000000001,0,0,0.5177754630923375,0.8741122684538313,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s6,multigen_none_n7_r8_k10,6,any_false_ejection_rate,9,0.554,9,0,0.3697754630923375,0.7382245369076625,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s6,multigen_none_n7_r8_k10,6,any_false_ejection_rate,10,0.638,0,0,0.4537754630923375,0.8121122684538312,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s6,multigen_none_n7_r8_k10,6,coalition_game_win_rate,0,0.86,0,9,0.6757754630923375,0.9841122684538313,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s6,multigen_none_n7_r8_k10,6,coalition_game_win_rate,1,0.626,1,0,0.4417754630923375,0.8102245369076625,0.09211226845383126,500,11
